Label, pos.X (µm), pos.Y (µm), pos.Z (µm), e1.X, e1.Y, e1.Z, e2.X, e2.Y, e2.Z, r1 (µm), r2 (µm), r3 (µm)
1606,-115.774,51.8777,-14.3381,0.0238225,0.210445,0.977315,-0.0867031,-0.973474,0.211732,9.6184,7.39441,6.28151
585,-115.595,-34.3754,54.8175,0.142519,0.79459,-0.590182,0.155614,0.570866,0.806162,9.95887,8.5687,7.59511
3052,-115.53,-5.21384,14.8206,0.991674,-0.115852,0.0562217,-0.0496048,0.05923,0.997011,8.38853,3.98336,1.90852
2744,-115.25,-19.9879,-41.8961,0.0628865,0.0739267,0.995279,0.889535,0.448018,-0.0894827,5.94212,2.5255,1.69962
1809,-115.191,18.7793,-20.0536,0.0382152,0.335625,0.94122,-0.143536,-0.930297,0.337558,22.4415,8.7335,5.7293
2016,-114.403,59.5842,48.5835,0.243295,-0.0655314,0.967736,-0.90173,0.352286,0.250556,9.8712,8.46019,8.02779
1765,-114.369,7.61736,7.06237,0.127232,0.0845437,-0.988263,0.989557,-0.0788624,0.120652,13.4627,10.2395,2.52693
421,-114.325,39.4839,-43.3984,-0.0682998,0.264807,0.96188,0.350212,-0.896414,0.271652,9.76583,7.3681,6.02559
868,-114.245,-3.91039,3.56311,0.0354386,-0.306027,0.951363,0.999309,0.0215105,-0.0303053,4.45472,2.91571,2.06525
2821,-114.206,10.6544,11.434,-0.0683543,-0.0361184,0.997007,0.986328,-0.152646,0.0620923,6.48337,3.07117,2.5019
329,-114.157,-9.24055,-39.6558,-0.0277744,0.115327,-0.992939,0.690219,-0.716304,-0.102503,3.60852,1.48779,1.41782
1203,-114.138,-45.9395,-51.332,-0.165248,-0.299824,0.939574,-0.339929,-0.876981,-0.339636,8.12438,6.41211,3.96398
649,-114.012,-8.38846,-7.30985,0.255992,0.434715,-0.863418,-0.877981,0.478298,-0.0194954,9.34143,6.74149,5.36383
1173,-113.7,12.3783,-0.293146,0.990274,-0.131623,-0.0450905,0.0783126,0.259434,0.96258,4.33217,3.21874,1.70405
1907,-113.639,-17.5949,25.6538,0.0348842,0.379069,0.924711,-0.126355,-0.916176,0.380337,17.1956,10.297,5.2243
1031,-113.6,11.6867,16.9339,-0.7413,-0.0572018,0.668732,-0.658966,0.2512,-0.708987,3.44403,3.22791,1.81813
51,-113.575,-25.8337,-24.1269,-0.442387,-0.0439136,-0.895749,-0.343127,0.931093,0.123815,2.57253,1.82034,1.64101
1397,-113.333,-4.23863,-60.8648,0.0415328,0.0931496,0.994785,0.985079,-0.170249,-0.0251859,7.78554,1.18317,0.962017
550,-113.035,19.6209,10.0776,-0.0321614,-0.0093175,0.999439,0.984368,-0.173541,0.0300585,8.29375,4.95034,3.39827
537,-113.029,-13.4898,6.11511,0.209683,0.0149603,-0.977655,-0.93898,0.281919,-0.197074,8.86874,6.75899,3.98909
1845,-112.995,44.255,18.6527,-0.0295008,-0.0825631,-0.996149,-0.0147289,-0.996439,0.0830233,15.7512,9.4714,5.61639
2874,-112.817,1.37311,19.7174,-0.100097,0.75718,0.645491,-0.0902421,-0.652984,0.751976,4.03888,2.96202,2.32117
2987,-112.641,-31.653,36.0494,-0.0686524,-0.319828,-0.944985,0.17334,0.928989,-0.327007,14.7516,10.6041,6.4575
980,-112.579,5.3087,2.14453,0.0553768,-0.0913254,0.99428,-0.998186,0.0185098,0.0572944,3.0256,1.94232,1.43338
518,-112.474,39.9435,91.819,0.00547881,0.391078,0.920341,0.220752,-0.898122,0.380322,9.89071,8.43027,6.67288
2703,-112.369,-18.2363,72.8799,0.31705,-0.217393,0.923157,0.933972,0.240756,-0.264069,8.823,8.03913,6.65372
423,-112.351,-9.71815,-36.5781,0.0594216,0.00362639,0.998226,-0.278912,-0.960107,0.0200907,3.39087,1.5048,1.09978
1563,-112.33,7.41933,20.3122,0.998897,-0.0360367,-0.0301153,0.0235839,-0.16962,0.985227,8.77598,4.48716,2.75774
11,-112.214,37.637,-9.28436,0.0207592,0.248769,0.96834,-0.0391395,0.968009,-0.247844,18.0837,10.2619,5.67022
729,-112.193,10.9542,65.7384,0.0296474,0.627639,0.77794,-0.0956588,-0.772928,0.627241,18.4761,14.1803,8.17884
1572,-112.175,-4.1205,9.03419,0.74106,-0.125857,-0.659538,-0.660621,0.0389411,-0.749709,4.84509,3.66025,2.21605
1811,-112.037,2.24647,40.457,-0.0956071,-0.663532,-0.742014,0.00565451,-0.745779,0.66617,14.6407,12.0661,6.08891
2861,-111.95,3.37884,-7.13256,-0.0351158,-0.989571,0.139702,-0.425255,-0.111706,-0.898153,3.51372,2.58668,1.87982
2791,-111.865,15.8302,-4.23132,0.00813745,0.465119,0.885211,0.998964,0.0358574,-0.0280238,10.1272,5.79959,4.38433
1479,-111.856,2.78454,84.5447,-0.0723128,-0.070245,0.994905,0.113589,0.990447,0.0781862,9.06865,7.69611,6.24321
3118,-111.696,14.8034,-83.7758,0.149616,0.11467,0.982072,0.948683,0.263219,-0.175264,11.7476,8.05645,7.743
491,-111.639,37.4653,69.0439,0.00603648,0.525665,0.850671,-0.0389805,-0.849916,0.525475,20.9176,12.2352,5.00989
1468,-111.623,23.2349,-70.4026,0.89381,0.0105443,-0.448321,-0.44177,0.19255,-0.876221,11.1786,9.58541,8.07487
380,-111.549,1.06409,-33.4298,0.0222375,0.137312,0.990278,-0.427725,-0.893986,0.133565,18.2467,10.0801,9.36504
2991,-111.42,11.5056,4.82229,0.995157,-0.0682733,-0.0707217,-0.0809831,-0.161622,-0.983524,10.5983,4.68696,1.9344
2258,-111.33,13.9606,24.1515,0.051677,-0.548984,0.834234,0.431611,0.765582,0.47707,10.4089,5.92132,5.19314
2913,-111.248,-48.9608,32.4627,0.0615256,0.631937,-0.772574,0.99145,0.0505421,0.120298,10.4265,9.01519,8.49899
1622,-111.121,-31.8821,-40.5634,0.0213203,-0.0558959,0.998209,-0.132886,-0.989735,-0.0525832,17.6603,12.6413,8.1543
1218,-111.055,-39.3821,11.8854,0.0255315,0.158024,0.987105,-0.0980886,-0.982266,0.159786,16.2843,12.4112,6.6492
1915,-111.05,-5.06287,-17.7869,0.160066,0.0369408,0.986415,-0.986018,0.0528921,0.15802,3.16413,2.20184,1.46068
1804,-110.991,7.77366,-60.7888,0.0540529,0.282627,0.957706,-0.0777634,-0.955003,0.286219,24.513,12.2882,6.13743
2671,-110.694,-8.42359,3.17786,0.983074,-0.168837,-0.0711322,0.0788377,0.039374,0.99611,6.25418,4.37094,2.44509
450,-110.392,44.2097,-28.717,0.0192253,-0.265437,-0.963937,0.0188075,-0.963848,0.265788,10.5478,8.69207,6.05119
293,-110.236,14.8056,8.79074,0.0303108,-0.0189174,0.999362,0.997485,-0.0635169,-0.0314562,9.52148,6.66808,2.40379
2221,-109.923,3.39381,5.05538,0.337347,0.00616216,-0.94136,-0.939407,0.0669249,-0.336209,13.249,9.95891,3.11434
2753,-109.905,54.0941,1.87932,-0.00118432,0.191592,0.981474,0.0670602,-0.97925,0.191239,11.2623,9.20001,6.13735
1018,-109.796,0.153753,25.9999,0.246787,0.941326,0.230221,-0.767026,0.334934,-0.547258,9.3231,6.36666,5.39212
944,-109.783,56.5489,64.1959,0.353494,-0.585348,-0.729664,-0.319239,-0.808684,0.494081,10.9247,9.90601,9.31481
513,-109.105,-56.3842,-3.29782,-0.0442051,-0.0363012,0.998363,-0.129696,-0.990674,-0.0417642,9.53136,7.09633,3.01428
366,-109.015,-49.6896,-40.8991,0.997957,-0.0175552,-0.0614263,-0.0399565,-0.92175,-0.385722,11.1777,7.69555,6.60323
719,-108.876,28.9113,14.4801,0.022191,-0.0888213,-0.9958,0.0987942,0.991365,-0.0862242,21.8228,8.85731,5.53873
2635,-108.624,-9.80177,17.426,0.173685,0.371588,0.912007,0.981594,-0.140004,-0.129894,7.70243,5.63563,3.72768
